ward,precinct,votes,Biden,Trump,Hawkins,LaRiva,Carroll,Jorgensen
,28,282,269,10,2,0,0,1
,29,364,353,9,1,0,1,0
,30,406,385,17,3,1,0,0
,31,355,338,14,0,1,2,0
,32,433,416,15,1,1,0,0
,33,367,350,14,3,0,0,0
,34,483,469,10,3,1,0,0
,35,538,509,24,3,1,0,1
,36,371,359,10,2,0,0,0
,37,246,231,12,2,1,0,0
,38,221,204,12,1,2,0,2
,39,332,311,17,2,1,0,1
,40,492,473,15,2,1,0,1
,41,274,261,10,2,0,0,1
,42,420,409,6,3,0,0,2
,43,379,364,11,1,0,0,3
,44,420,404,11,4,0,1,0
,45,437,417,17,2,1,0,0
,46,303,294,8,0,0,0,1
,47,398,388,8,1,0,1,0
,48,434,417,10,5,0,2,0
,49,405,387,11,4,2,0,1
,50,356,342,12,2,0,0,0
,51,462,433,18,8,0,0,3
,52,317,303,11,2,0,0,1
,53,295,274,13,4,1,1,2
35,1,632,539,75,12,0,0,6
,2,605,526,71,4,0,0,4
,3,537,457,71,3,1,0,5
,4,577,471,91,4,1,0,10
,5,532,463,61,1,3,0,4
,6,609,536,57,8,1,0,7
,7,602,551,44,3,1,1,2
,8,601,517,68,7,4,1,4
,9,616,477,131,5,1,1,1
,10,664,609,41,9,4,0,1
,11,690,589,85,4,4,1,7
,12,449,359,75,4,3,0,8
,13,467,386,73,3,2,0,3
,14,498,418,71,2,4,0,3
,15,690,598,67,9,8,1,7
,16,352,294,52,5,1,0,0
,17,615,550,57,2,2,0,4
,18,407,329,75,1,2,0,0
,19,408,333,70,2,3,0,0
,20,623,521,83,5,6,2,6
,21,602,536,55,4,3,0,4
,22,707,603,86,6,7,3,2
,23,615,507,90,8,5,0,5
,24,546,474,56,5,5,0,6
,25,590,512,60,6,3,3,6
,26,501,417,76,2,2,1,3
,27,552,464,71,3,6,1,7
,28,574,502,57,6,2,1,6
,29,603,469,121,2,4,2,5
,30,591,480,101,4,1,0,5
,31,640,524,98,6,3,2,7
36,1,494,374,112,4,1,0,3
,2,520,415,97,6,1,0,1
,3,453,349,99,1,2,1,1
,4,539,433,102,2,1,0,1
,5,447,371,70,4,1,1,0
,6,478,368,106,1,2,0,1
,7,612,352,254,1,0,0,5
,8,416,343,68,4,0,0,1
,9,498,403,87,1,2,2,3
,10,662,481,173,3,0,1,4
,11,373,299,68,5,0,0,1
,12,372,295,72,2,3,0,0
,13,385,320,63,1,0,0,1
,14,572,423,143,0,2,0,4
,15,560,371,185,0,1,0,3
,16,522,384,132,2,1,0,3
,17,639,445,187,2,0,0,5
,18,583,397,179,3,0,1,3
,19,650,495,145,7,1,0,2
,20,607,426,176,3,1,0,1
,21,482,378,96,6,1,0,1
,22,452,358,92,1,0,0,1
,23,472,368,92,4,4,1,3
,24,643,431,199,2,5,0,6
,25,538,437,97,1,0,1,2
,26,543,313,224,4,2,0,0
,27,486,362,116,5,1,0,2
,28,559,350,203,1,1,2,2
,29,578,383,191,1,0,1,2
,30,527,377,143,3,0,0,4
37,1,373,343,27,0,2,0,1
,2,365,335,26,2,1,0,1
,3,313,301,9,3,0,0,0
,4,356,319,33,0,0,3,1
,5,449,425,23,0,0,1,0
,6,449,423,20,1,3,2,0
,7,354,313,36,1,2,0,2
,8,326,293,29,0,3,0,1
,9,455,432,18,2,1,0,2
,10,530,484,43,2,0,0,1
,11,290,275,8,2,1,2,2
,12,401,365,32,0,0,3,1
,13,318,294,19,3,0,1,1
,14,459,435,20,1,1,1,1
,15,438,406,26,4,0,2,0
,16,493,460,24,5,1,1,2
,17,317,300,14,1,1,0,1
,18,383,358,22,2,1,0,0
,19,323,303,20,0,0,0,0
,20,389,361,25,1,0,2,0
,21,398,360,30,1,3,0,4
,22,417,371,41,3,2,0,0
,23,413,393,20,0,0,0,0
,24,447,417,26,4,0,0,0
,25,380,349,25,2,2,0,2
,26,571,508,55,3,3,1,1
,27,402,376,22,3,0,0,1
,28,388,353,31,2,1,0,1
,29,419,391,25,2,1,0,0
,30,415,392,19,2,1,0,1
,31,491,460,28,2,1,0,0
,32,379,355,22,0,2,0,0
,33,477,446,26,4,0,1,0
,34,380,360,15,1,2,1,1
,35,409,391,14,1,0,0,3
,36,409,386,20,1,1,1,0
,37,473,438,28,4,2,1,0
,38,457,425,28,2,1,0,1
,39,406,382,21,2,1,0,0
,40,452,430,20,2,0,0,0
,41,459,425,27,4,2,1,0
38,1,502,362,120,6,2,5,7
,2,613,207,401,3,0,0,2
,3,609,324,279,4,0,0,2
,4,572,298,261,3,2,4,4
,5,604,336,260,4,1,0,3
,6,608,314,290,2,0,0,2
,7,560,269,282,2,2,0,5
,8,559,320,237,0,0,0,2
,9,653,321,321,6,0,1,4
,10,507,304,197,2,0,0,4
,11,510,322,179,1,0,1,7
,12,601,230,363,2,0,1,5
,13,643,343,293,1,2,1,3
,14,618,392,210,3,1,1,11
,15,541,353,172,4,2,0,10
,16,576,327,241,4,0,0,4
,17,693,314,367,5,1,1,5
,18,621,368,240,4,1,2,6
,19,659,385,263,5,0,1,5
,20,591,260,326,4,1,0,0
,21,548,366,173,1,1,1,6
,22,510,352,150,2,2,2,2
,23,577,381,184,6,0,1,5
,24,613,309,297,4,0,0,3
,25,535,314,208,6,0,1,6
,26,614,349,253,2,2,1,7
,27,602,317,278,5,0,0,2
,28,704,334,362,3,0,0,5
,29,609,360,242,4,1,0,2
,30,590,281,303,1,0,0,5
,31,555,393,144,5,0,5,8
,32,558,363,185,4,1,0,5
,33,560,377,176,2,1,1,3
,34,550,394,148,3,1,1,3
,35,555,419,125,1,1,2,7
,36,545,358,174,6,0,1,6
,37,576,378,187,4,0,0,7
,38,582,326,243,11,1,0,1
,39,604,424,173,2,1,1,3
,40,552,376,168,2,0,1,5
,41,497,396,93,0,4,1,3
39,1,570,360,196,7,0,1,6
,2,551,313,231,2,1,1,3
,3,599,484,105,2,2,0,6
,4,554,347,196,3,0,3,5
,5,586,425,154,3,0,1,3
,6,574,435,131,3,4,0,1
,7,515,390,117,2,1,0,5
,8,622,457,159,2,1,0,3
,9,539,386,143,4,0,2,4
,10,262,219,41,2,0,0,0
,11,535,364,156,7,0,0,8
,12,758,614,123,10,2,3,6
,13,539,377,154,4,2,0,2
,14,569,430,128,3,2,0,6
,15,695,388,298,2,0,0,7
,16,574,425,136,2,2,3,6
,17,587,425,160,0,0,1,1
,18,564,411,149,1,1,0,2
,19,557,414,128,3,1,1,10
,20,717,402,304,6,0,1,4
,21,567,321,236,2,2,0,6
,22,574,436,126,6,2,0,4
,23,575,345,218,4,0,1,7
,24,717,412,298,2,1,0,4
,25,501,400,94,3,0,0,4
,26,580,344,229,2,1,0,4
,27,89,57,31,1,0,0,0
,28,683,571,101,7,0,1,3
,29,319,248,60,7,2,0,2
,30,667,551,106,6,2,2,0
,31,511,405,98,2,0,1,5
,32,564,314,245,2,1,1,1
,33,599,447,145,4,0,0,3
,34,677,525,130,10,3,1,8
,35,582,451,118,6,0,2,5
,36,148,105,41,2,0,0,0
,37,538,371,151,7,0,3,6
,38,297,218,78,0,0,0,1
,39,364,259,98,5,0,1,1
,40,598,376,213,0,1,0,8
,41,600,391,195,4,1,3,6
,42,591,351,232,1,1,1,5
,43,609,362,237,1,2,0,7
,44,474,293,173,3,0,0,5
,45,515,335,170,3,1,1,5
40,1,570,389,173,4,1,0,3
,2,591,456,130,2,2,0,1
,3,663,571,83,4,2,0,3
,4,371,286,84,0,0,0,1
,5,618,505,105,2,5,0,1
,6,630,551,65,5,2,1,6
,7,538,464,57,6,0,3,8
,8,745,674,61,3,1,2,4
,9,514,385,121,5,1,0,2
,10,658,504,141,3,1,2,7
,11,552,484,55,4,1,0,8
,12,500,433,59,4,2,0,2
,13,825,749,65,4,5,0,2
,14,592,411,172,1,3,0,5
,15,603,459,133,3,5,2,1
,16,740,651,66,7,5,0,11
,17,494,381,106,2,2,2,1
,18,517,428,81,7,1,0,0
,19,700,536,155,4,1,0,4
,20,618,486,120,5,2,2,3
,21,650,581,61,2,0,0,6
,22,684,604,72,3,1,0,4
,23,651,571,66,5,2,2,5
,24,580,398,169,5,3,1,4
,25,669,596,64,2,2,0,5
,26,608,545,52,5,0,1,5
,27,756,630,112,6,2,1,5
,28,588,517,58,8,0,0,5
,29,553,415,130,5,2,0,1
,30,480,316,154,4,2,3,1
,31,611,554,48,3,1,0,5
,32,611,539,65,0,2,0,5
,33,528,488,34,2,0,0,4
,34,522,368,143,4,1,0,6
,35,381,278,96,4,0,1,2
,36,500,420,71,2,1,0,6
,37,612,510,93,5,2,0,2
,38,656,563,80,4,1,2,6
,39,259,186,72,0,0,1,0
41,1,544,217,318,5,0,0,4
,2,595,230,357,3,0,0,5
,3,558,278,267,2,0,0,11
,4,556,291,257,3,1,1,3
,5,671,349,305,6,0,0,11
,6,616,337,266,2,0,0,11
,7,588,287,287,7,0,1,6
,8,575,284,280,3,0,0,8
,9,553,312,231,4,1,0,5
,10,547,295,241,2,0,1,8
,11,602,250,343,3,1,1,4
,12,608,263,342,0,1,1,1
,13,670,297,364,2,0,1,6
,14,564,351,198,3,0,1,11
,15,692,370,308,4,0,1,9
,16,543,267,268,5,0,1,2
,17,502,271,227,2,0,1,1
,18,507,260,242,1,1,1,2
,19,597,363,211,8,2,1,12
,20,392,184,199,2,0,0,7
,21,526,262,258,0,0,0,6
,22,614,296,310,1,0,1,6
,23,605,206,393,1,0,2,3
,24,549,229,307,2,1,3,7
,25,607,285,315,4,1,0,2
,26,489,253,223,0,0,1,12
,27,572,228,337,2,1,0,4
,28,658,385,265,4,1,1,2
,29,522,247,270,2,0,0,3
,30,527,283,239,1,0,0,4
,31,483,269,205,5,0,0,4
,32,477,229,241,2,0,0,5
,33,539,253,281,3,0,0,2
,34,515,228,280,2,0,2,3
,35,701,349,341,2,0,0,9
,36,558,285,265,2,0,0,6
,37,607,283,313,4,0,0,7
,38,562,277,276,3,1,1,4
,39,574,291,273,5,0,1,4
,40,642,257,379,1,1,0,4
,41,576,258,312,1,0,0,5
,42,564,249,305,1,0,2,7
,43,580,284,289,2,1,0,4
,44,597,253,329,7,1,0,7
,45,563,280,278,4,1,0,0
,46,538,264,265,3,0,2,4
,47,623,329,283,3,0,0,8
42,1,513,356,152,2,0,0,3
,2,785,618,154,2,1,0,10
,3,610,500,99,2,0,0,9
,4,1548,1179,352,3,0,1,13
,5,508,396,102,1,0,0,9
,6,605,433,162,4,1,0,5
,7,734,557,167,3,1,1,5
,8,525,407,114,1,0,0,3
,9,831,673,142,5,0,2,9
,10,855,643,192,7,2,0,11
,11,419,289,123,2,0,1,4
,12,539,384,148,1,0,0,6
,13,499,348,144,2,3,0,2
,14,893,674,199,2,0,3,15
,15,857,619,227,2,0,1,8
,16,649,508,126,2,1,3,9
,17,1006,717,272,4,0,0,13
,18,800,618,164,5,0,0,13
,19,787,572,205,0,0,1,9
,20,817,590,214,1,0,0,12
,21,760,640,110,3,0,0,7
,22,368,266,95,0,0,1,6
,23,716,496,213,2,0,0,5
,24,568,411,146,5,1,0,5
,25,791,561,221,2,4,0,3
,26,1085,800,273,2,0,1,9
,27,464,346,111,2,1,0,4
,28,617,460,152,1,0,0,4
,29,733,523,198,2,0,0,10
,30,476,352,121,0,0,0,3
,31,774,566,196,3,0,2,7
,32,767,556,197,2,1,0,11
,33,708,583,112,3,1,1,8
,34,500,356,135,4,0,0,5
,35,795,634,145,2,0,0,14
,36,1055,796,233,2,0,0,24
,37,518,375,129,0,0,2,12
,38,674,489,172,2,1,0,10
,39,1207,922,269,3,0,1,12
,40,963,740,207,2,0,0,14
,41,660,524,128,2,0,0,6
,42,1165,946,198,4,1,0,16
43,1,313,251,57,1,0,0,4
,2,661,551,98,3,1,0,8
,3,586,453,123,2,1,1,6
,4,740,579,149,3,0,0,9
,5,547,453,84,1,0,0,9
,6,461,386,63,1,0,0,11
,7,379,307,63,2,1,0,6
,8,460,364,93,3,0,0,0
,9,597,476,112,1,0,0,8
,10,740,601,120,1,0,0,18
,11,548,426,111,1,1,2,7
,12,399,332,63,2,0,0,2
,13,578,484,87,1,1,0,5
,14,560,456,91,1,0,0,12
,15,634,498,125,2,1,0,8
,16,827,674,136,2,1,1,13
,17,433,330,96,2,0,0,5
,18,689,543,135,2,0,0,9
,19,625,497,118,3,0,0,7
,20,733,621,95,1,1,1,14
,21,682,533,134,5,1,3,6
,22,430,344,80,1,0,0,5
,23,418,338,72,2,0,0,6
,24,471,361,99,2,1,1,7
,25,524,421,96,0,0,0,7
,26,382,320,54,1,1,0,6
,27,553,442,104,0,0,0,7
,28,764,594,160,3,1,0,6
,29,834,671,147,0,2,0,14
,30,608,493,103,2,0,0,10
,31,616,486,117,5,0,0,8
,32,611,506,95,4,0,0,6
,33,592,428,155,3,0,0,6
,34,355,278,71,1,0,0,5
,35,627,464,156,1,0,0,6
,36,407,329,72,0,1,1,4
,37,686,572,105,2,0,2,5
,38,469,351,110,1,0,0,7
,39,443,326,105,4,1,0,7
,40,457,380,67,5,0,2,3
,41,721,595,112,3,1,0,10
,42,569,450,105,3,0,1,10
,43,650,471,169,1,1,0,8
,44,608,487,107,3,2,0,9
,45,354,290,59,1,0,0,4
,46,367,316,48,0,0,1,2
44,1,851,747,94,5,1,0,4
,2,613,513,84,3,0,2,11
,3,364,308,54,0,0,0,2
,4,463,396,60,1,0,1,5
,5,573,502,59,0,2,1,9
,6,790,681,94,4,2,0,9
,7,449,349,93,2,0,0,5
,8,805,706,82,5,1,0,11
,9,630,526,90,1,1,1,11
,10,641,544,78,6,1,0,12
,11,707,583,112,3,0,1,8
,12,626,524,95,1,1,0,5
,13,511,429,73,2,0,1,6
,14,558,476,70,2,1,0,9
,15,584,480,97,1,1,0,5
,16,674,580,83,1,0,0,10
,17,789,701,81,3,0,0,4
,18,670,555,106,1,1,0,7
,19,722,635,81,0,0,1,5
,20,678,587,80,1,1,1,8
,21,706,637,57,2,1,0,9
,22,562,489,66,0,0,0,7
,23,570,505,53,2,0,0,10
,24,438,363,68,4,0,0,3
,25,630,553,68,1,0,0,8
,26,710,623,76,2,0,0,9
,27,719,612,87,3,0,1,16
,28,669,574,87,2,0,0,6
,29,677,573,90,4,0,0,10
,30,718,623,85,3,0,0,7
,31,547,425,100,4,1,0,17
,32,703,576,108,4,2,0,13
,33,604,546,49,1,2,0,6
,34,637,572,59,1,0,2,3
,35,692,579,101,4,1,0,7
,36,611,531,75,0,0,0,5
,37,653,595,53,1,0,0,4
,38,756,588,148,4,1,0,15
,39,624,524,90,2,1,2,5
,40,606,499,92,1,1,1,12
,41,807,691,102,6,0,0,8
45,1,454,390,49,5,3,0,7
,2,553,477,64,4,1,2,5
,3,519,421,89,3,2,1,3
,4,665,517,126,9,0,3,10
,5,584,465,107,4,1,0,7
,6,744,608,123,2,0,2,9
,7,812,633,162,8,0,1,8
,8,580,444,127,1,1,4,3
,9,589,438,141,3,1,1,5
,10,583,405,168,3,3,2,2
,11,431,312,114,1,0,1,3
,12,538,383,138,6,2,1,8
,13,467,354,96,8,2,1,6
,14,781,576,193,4,1,3,4
,15,624,482,134,5,0,1,2
,16,465,335,124,2,1,0,3
,17,630,414,202,1,4,2,7
,18,623,397,211,5,3,0,7
,19,344,230,108,2,2,0,2
,20,413,292,109,5,2,1,4
,21,534,332,201,0,1,0,0
,22,540,348,182,4,3,0,3
,23,554,330,212,5,0,2,5
,24,469,270,191,4,1,0,3
,25,374,210,156,5,1,1,1
,26,321,167,150,0,0,0,4
,27,574,315,248,2,0,0,9
,28,485,296,183,3,1,0,2
,29,385,219,162,1,0,1,2
,30,526,398,121,3,2,0,2
,31,473,346,120,3,2,0,2
,32,535,364,164,1,0,0,6
,33,388,285,99,1,0,0,3
,34,557,381,166,4,1,1,4
,35,609,418,179,3,1,0,8
,36,593,378,205,2,1,1,6
,37,570,341,215,3,4,0,7
,38,555,362,189,1,0,0,3
,39,545,315,221,4,0,0,5
,40,504,292,201,5,0,1,5
,41,516,292,213,3,0,0,8
,42,513,290,217,4,0,0,2
,43,565,281,273,3,0,2,6
,44,528,282,235,2,0,1,8
,45,385,195,184,1,0,0,5
,46,435,221,205,3,0,0,6
,47,422,223,190,4,0,1,4
,48,480,225,243,4,0,0,8
46,1,383,334,43,2,1,0,3
,2,501,448,46,2,2,0,3
,3,691,597,87,0,1,0,6
,4,515,460,44,3,2,0,6
,5,726,631,82,6,0,0,7
,6,568,485,72,3,5,0,3
,7,671,559,105,1,5,0,1
,8,446,394,46,3,2,0,1
,9,604,546,42,4,5,0,7
,10,1006,880,105,7,0,0,14
,11,613,457,145,2,4,0,5
,12,560,510,43,1,0,0,6
,13,598,528,64,1,0,0,5
,14,728,627,96,1,1,0,3
,15,610,527,76,1,0,0,6
,16,595,534,39,6,6,1,9
,17,692,570,110,6,0,0,6
,18,726,588,125,4,4,0,5
,19,440,360,73,0,1,1,5
,20,503,446,50,3,0,0,4
,21,477,375,97,2,1,0,2
,22,448,397,40,4,3,2,2
,23,500,453,42,4,0,0,1
,24,776,664,104,3,1,1,3
,25,513,464,43,2,2,0,2
,26,815,732,71,8,2,0,2
,27,757,666,70,7,4,1,9
,28,534,450,78,1,0,1,4
,29,439,369,63,0,1,1,5
,30,670,575,84,4,3,2,2
,31,614,563,41,3,2,1,4
,32,619,516,89,5,0,1,8
,33,648,572,70,2,3,0,1
,34,719,648,57,1,2,2,9
,35,674,600,67,1,1,1,4
,36,586,481,96,1,1,0,7
,37,528,445,78,1,2,0,2
,38,723,647,63,2,0,0,11
,39,609,498,102,1,2,0,6
,40,459,398,52,3,1,0,5
47,1,431,362,62,1,1,1,4
,2,609,510,86,5,1,1,6
,3,588,492,83,3,0,2,8
,4,724,620,95,2,1,0,6
,5,667,590,62,3,4,0,8
,6,759,668,77,3,2,0,9
,7,581,482,90,2,1,0,6
,8,631,544,70,3,1,0,13
,9,608,505,84,4,3,0,12
,10,707,634,58,3,1,0,11
,11,656,560,91,0,0,0,5
,12,664,588,53,5,3,0,15
,13,569,496,61,5,0,0,7
,14,567,485,74,1,0,0,7
,15,691,636,40,5,3,1,6
,16,593,490,91,3,3,2,4
,17,632,518,100,4,1,1,8
,18,590,499,76,6,0,2,7
,19,883,814,53,6,2,0,8
,20,626,556,59,4,0,0,7
,21,582,505,63,4,5,1,4
,22,654,567,72,5,2,1,7
,23,618,558,50,2,2,0,6
,24,675,599,62,6,3,0,5
,25,722,639,73,4,0,0,6
,26,789,726,56,1,2,1,3
,27,499,433,52,5,0,0,9
,28,560,488,60,3,3,0,6
,29,648,551,83,2,1,2,9
,30,702,639,52,1,5,0,5
,31,614,536,65,9,1,0,3
,32,657,601,46,2,2,0,6
,33,590,498,77,1,2,1,11
,34,597,523,62,5,2,0,5
,35,611,497,101,2,0,0,11
,36,650,586,56,0,2,0,6
,37,560,491,57,3,3,0,6
,38,587,514,63,3,2,0,5
,39,598,522,65,5,1,3,2
,40,563,514,43,3,1,0,2
,41,635,563,64,4,1,1,2
,42,542,480,50,5,3,0,4
,43,538,442,80,5,1,1,9
,44,611,496,107,0,1,0,7
,45,537,489,40,3,0,1,4
,46,630,508,110,2,0,2,8
,47,727,629,89,2,1,1,5
,48,59,38,20,0,0,0,1
48,1,503,455,39,4,1,1,3
,2,237,202,29,2,1,1,2
,3,630,540,80,3,3,0,4
,4,543,492,45,1,3,1,1
,5,304,263,39,0,1,0,1
,6,668,574,81,3,1,2,7
,7,541,506,31,2,0,0,2
,8,289,239,45,1,1,0,3
,9,413,297,109,2,1,1,3
,10,676,629,41,2,2,1,1
,11,403,376,19,3,1,1,3
,12,628,570,49,3,1,0,5
,13,730,602,121,3,0,2,2
,14,305,237,66,0,0,1,1
,15,357,293,57,4,0,1,2
,16,600,509,80,6,2,0,3
,17,504,428,59,12,0,0,5
,18,388,319,65,2,0,1,1
,19,323,292,23,2,2,1,3
,20,528,477,47,1,1,1,1
,21,780,656,108,4,2,0,10
,22,481,387,91,2,1,0,0
,23,512,431,70,3,1,1,6
,24,704,510,186,3,1,0,4
,25,406,366,31,5,0,0,4
,26,261,217,41,0,1,0,2
,27,496,435,45,8,2,1,5
,28,716,513,187,8,2,2,4
,29,224,194,29,0,0,1,0
,30,425,380,38,2,1,2,2
,31,769,652,98,10,3,0,6
,32,598,520,66,8,0,1,3
,33,319,268,49,2,0,0,0
,34,443,400,36,3,1,1,2
,35,389,307,74,2,2,3,1
,36,342,289,48,1,1,0,3
,37,564,511,43,4,2,1,3
,38,535,470,60,1,2,0,2
,39,435,359,72,0,0,0,4
,40,456,415,35,2,1,0,3
,41,693,613,66,5,3,0,6
,42,548,515,26,1,3,1,2
,43,624,544,71,5,0,1,3
,44,633,584,41,2,3,0,3
,45,359,326,25,2,3,0,3
,46,378,317,57,3,1,0,0
49,1,396,362,26,4,2,1,1
,2,311,292,13,1,1,1,3
,3,648,585,57,5,0,0,1
,4,689,615,51,10,5,1,7
,5,499,445,45,6,2,0,1
,6,451,406,37,1,2,0,5
,7,450,385,56,2,3,0,4
,8,496,438,54,1,1,0,2
,9,522,463,48,2,1,2,6
,10,607,527,71,4,0,2,3
,11,666,616,36,6,4,0,4
,12,645,568,61,5,2,2,7
,13,644,563,69,5,2,1,4
,14,402,353,44,2,2,0,1
,15,404,359,39,3,1,1,1
,16,427,368,48,5,1,1,4
,17,486,386,91,5,0,2,2
,18,643,584,46,6,2,3,2
,19,527,481,39,1,0,1,5
,20,811,734,66,6,3,0,2
,21,330,291,37,0,0,1,1
,22,550,474,61,3,2,3,7
,23,716,621,74,7,2,2,10
,24,435,392,33,6,1,1,2
,25,659,571,67,5,6,2,8
,26,657,556,93,6,1,0,1
,27,625,553,56,5,4,2,5
,28,707,630,59,5,6,2,5
,29,624,549,61,6,5,0,3
,30,542,464,65,5,3,0,5
,31,395,345,45,2,1,0,2
,32,524,471,42,4,5,1,1
,33,440,399,35,1,2,1,2
50,1,438,209,222,3,1,0,3
,2,300,164,132,2,0,1,1
,3,428,215,210,0,0,1,2
,4,523,358,155,2,0,2,6
,5,352,132,216,1,1,0,2
,6,463,331,123,3,1,0,5
,7,494,425,61,3,0,0,5
,8,462,382,73,1,2,2,2
,9,388,257,123,2,1,1,4
,10,552,261,285,2,0,2,2
,11,339,85,251,2,0,0,1
,12,236,127,105,0,0,0,4
,13,546,443,93,6,1,0,3
,14,181,85,95,1,0,0,0
,15,522,424,96,1,0,0,1
,16,171,85,85,1,0,0,0
,17,541,329,211,0,0,0,1
,18,86,33,51,1,0,0,1
,19,393,303,80,6,1,1,2
,20,487,365,114,4,1,1,2
,21,432,311,118,2,0,0,1
,22,460,255,197,4,1,0,3
,23,372,214,153,0,1,1,3
,24,448,129,316,2,0,0,1
,25,517,206,311,0,0,0,0
,26,542,336,200,3,2,0,1
,27,199,107,91,1,0,0,0
,28,537,403,127,5,1,0,1
,29,492,375,113,1,1,1,1
,30,374,310,59,1,0,2,2
,31,627,522,95,5,0,0,5
,32,565,470,83,4,1,2,5
,33,376,144,227,0,0,0,5
,34,638,406,222,2,3,0,5
,35,589,489,90,4,2,0,4
,36,475,365,105,0,1,1,3
,37,468,385,79,3,0,0,1
,38,210,123,85,2,0,0,0
,39,337,166,169,1,0,0,1
,40,479,127,346,3,0,1,2